ふつか	二日	Second Day	vocabulary	ふつか, exception	noun
いちにち	一日	One Day	vocabulary	いちにち, 一: いち: on, 日: にち: on, &emsp;ついたち : exception	noun
なのか	七日	Seventh Day	vocabulary	なのか, 七: なの: kun, 日: か: kun	noun
みっか	三日	Third Day	vocabulary	みっか, 三: みっ: kun, 日: か: kun	noun
ここのか	九日	Ninth Day	vocabulary	ここのか, 九: ここの: kun, 日: か: kun	noun
さゆう	左右	Left And Right	vocabulary	さゆう, 左: さ: on, 右: ゆう: on	noun, する verb
にゅうりょく	入力	Input	vocabulary	にゅうりょく, 入: にゅう: on, 力: りょく: on	noun, する verb
うむ	生む	To Give Birth	vocabulary	うむ, 生: う: kun	transitive verb, godan verb
なま	生	Fresh	vocabulary	なま, 生: なま: kun	noun, prefix, の adjective
ちゅうし	中止	Suspension	vocabulary	ちゅうし, 中: ちゅう: on, 止: し: on	noun, する verb
ふるい	古い	Old	vocabulary	ふるい, 古: ふる: kun	い adjective
びーだま	ビー玉	Marble	vocabulary	びーだま, 玉: だま: kun, &emsp;ビーだま, 玉: だま: kun	noun
ふとい	太い	Fat	vocabulary	ふとい, 太: ふと: kun	い adjective
け	毛	Fur	vocabulary	け, 毛: け: kun	noun
じんせい	人生	One's Life	vocabulary	じんせい, 人: じん: on, 生: せい: on	noun
よう	用	Task	vocabulary	よう, 用: よう: on	noun, suffix
いきる	生きる	To Live	vocabulary	いきる, 生: い: kun	intransitive verb, ichidan verb
じゅうまん	十万	One Hundred Thousand	vocabulary	じゅうまん, 十: じゅう: on, 万: まん: on	numeral
きょう	今日	Today	vocabulary	きょう: exception	noun
もと	元	Origin	vocabulary	もと, 元: もと: kun	noun, prefix
はんぶん	半分	Half	vocabulary	はんぶん, 半: はん: on, 分: ぶん: on	noun
わける	分ける	To Separate	vocabulary	わける, 分: わ: kun	transitive verb, ichidan verb
きれる	切れる	To Be Cut	vocabulary	きれる, 切: き: kun	intransitive verb, ichidan verb
たいせつ	大切	Important	vocabulary	たいせつ, 大: たい: on, 切: せつ: on	noun, な adjective
